id,code,name,keywords
TCMS000247,B02.03.01.03.04,寒凝血瘀证,寒凝血涩证；寒凝瘀结证；寒邪内积证
TCMS000248,B02.03.01.03.05,寒瘀阻络证,
TCMS000249,B02.03.01.04.,寒邪夹虚证,寒凝夹虚证
TCMS000250,B02.03.01.04.01,寒凝血虚证,寒伤血脉证
TCMS000251,B02.03.01.04.02,寒凝阳虚证,寒凝阳衰证
TCMS000252,B02.03.02.,寒湿证,寒湿偏盛证
TCMS000253,B02.03.02.01,寒湿外侵证,
TCMS000254,B02.03.02.01.01,寒湿犯表证,
TCMS000255,B02.03.02.01.02,寒湿蕴肤证,肌肤寒湿证
TCMS000256,B02.03.02.01.03,寒湿阻滞证,
TCMS000257,B02.03.02.01.04,寒湿入络证,
TCMS000258,B02.03.02.01.05,寒湿痹阻证,
TCMS000259,B02.03.02.01.06,寒湿阻络证,寒湿侵袭，痹阻经络证
TCMS000260,B02.03.02.01.07,寒湿中阻证,
TCMS000261,B02.03.02.01.08,寒湿犯腰证,寒湿着腰证
TCMS000262,B02.03.02.01.09,寒湿化热证,
TCMS000263,B02.03.02.02.,寒湿内侵证,寒湿内聚证；寒湿内盛证
TCMS000264,B02.03.02.02.01,寒湿凝滞证,寒湿凝聚证
TCMS000265,B02.03.02.02.02,寒湿瘀滞证,寒湿瘀郁证
TCMS000266,B02.03.02.02.03,寒湿困脾证,寒湿蕴脾证；寒湿偏胜，中阳被困证
TCMS000267,B02.03.02.02.04,寒湿伤肾证,
TCMS000268,B02.03.03.,寒痰证,
TCMS000269,B02.03.03.01,寒痰阻肺证,寒痰停肺证
TCMS000270,B02.03.03.02,寒痰聚胃证,
TCMS000271,B02.03.04.,寒饮证,
TCMS000272,B02.03.04.01,寒水上泛证,
TCMS000273,B02.03.04.02,寒饮内停证,寒饮停留证
TCMS000274,B02.03.04.02.01,寒饮停肺证,
TCMS000275,B02.03.04.02.01.01,寒饮伏肺证,
TCMS000276,B02.03.04.02.01.02,寒饮射肺证,
TCMS000277,B02.03.04.02.02,寒饮停胃证,胃寒饮停证
TCMS000278,B02.03.04.02.03,寒饮困脾证,
TCMS000279,B02.04.,暑证类,暑邪偏盛证
TCMS000280,B02.04.01,阳暑证,
TCMS000281,B02.04.02,阴暑证,
TCMS000282,B02.04.03.,暑热证,暑温证
TCMS000283,B02.04.03.01,暑犯肺卫证,
TCMS000284,B02.04.03.02,暑热浸淫证,
TCMS000285,B02.04.03.03,暑入气分证,暑犯气分证；暑热炽盛证；暑入阳明证
TCMS000286,B02.04.03.03.01,暑热内郁证,
TCMS000287,B02.04.03.03.02,暑闭气机证,
TCMS000288,B02.04.03.03.03,暑伤津气证,暑耗肺胃津气证；暑伤肺胃证
TCMS000289,B02.04.03.03.04,暑耗气阴证,暑耗肺胃气阴证
TCMS000290,B02.04.03.04,暑入营血证,
TCMS000291,B02.04.03.04.01,暑入心包证,暑闭心包证
TCMS000292,B02.04.03.04.02,暑入心营证,
TCMS000293,B02.04.03.04.02.01,暑热扰心证,暑热蒙心证
TCMS000294,B02.04.03.04.02.02,暑热闭神证,
TCMS000295,B02.04.03.04.03,暑入血分证,
TCMS000296,B02.04.03.04.03.01,暑伤肺络证,
TCMS000297,B02.04.03.04.03.02,暑伤血络证,
TCMS000298,B02.04.03.04.04,暑热动风证,暑动肝风证
TCMS000299,B02.04.03.04.05,暑伤心肾证,暑入心肾证
TCMS000300,B02.04.04.,暑湿证,
TCMS000301,B02.04.04.01,暑湿袭表证,
TCMS000302,B02.04.04.01.01,暑湿感冒证,暑湿在卫证
TCMS000303,B02.04.04.01.02,暑湿交阻证,
TCMS000304,B02.04.04.01.03,暑湿热郁证,
TCMS000305,B02.04.04.01.04,暑湿蕴结证,暑湿蕴毒证
TCMS000306,B02.04.04.02,暑湿内伏证,暑湿内蕴证
TCMS000307,B02.04.04.03,暑湿犯肺证,
TCMS000308,B02.04.04.04,暑湿热蕴证,暑湿蕴热证
TCMS000309,B02.04.04.04.01,暑湿犯胃证,
TCMS000310,B02.04.04.04.02,暑湿困脾证,暑湿伤脾证；暑湿困阻中焦证
TCMS000311,B02.04.04.04.03,暑湿困伤心脾证,
TCMS000312,B02.04.04.05,暑湿弥漫三焦证,
TCMS000313,B02.05.,湿证类,湿邪偏盛证
TCMS000314,B02.05.01.,湿邪证,
TCMS000315,B02.05.01.01.,湿邪外感证,外感湿邪证；外湿证；表湿证
TCMS000316,B02.05.01.01.01,湿郁卫表证,湿郁卫分证；湿郁卫气证
TCMS000317,B02.05.01.01.02,湿邪浸渍证,
TCMS000318,B02.05.01.01.03,湿盛着痹证,湿胜著痹证
TCMS000319,B02.05.01.01.04,湿阻筋络证,湿邪阻络证
TCMS000320,B02.05.01.01.05,湿壅鼻窍证,湿浊闭塞鼻窍证
TCMS000321,B02.05.01.01.06,湿蒙清窍证,
TCMS000322,B02.05.01.01.07,湿阻气分证,湿阻证；湿邪阻滞证
TCMS000323,B02.05.01.01.08,湿困中焦证,湿阻中焦证；湿邪困脾证
TCMS000324,B02.05.01.01.09,湿郁三焦证,
TCMS000325,B02.05.01.02.,湿邪内蕴证,里湿证；内湿证
TCMS000326,B02.05.01.02.01,湿阻气滞证,湿困气滞证
TCMS000327,B02.05.01.02.02,湿邪蕴积证,
TCMS000328,B02.05.01.02.03,湿困脾胃证,湿阻脾胃证
TCMS000329,B02.05.01.02.04,湿困脾阳证,湿困中阳证
TCMS000330,B02.05.01.02.05,湿阻肠道证,湿滞肠道证；湿蕴肠道证
TCMS000331,B02.05.02.,水气证,
TCMS000332,B02.05.02.01,水热互结证,热结水停证
TCMS000333,B02.05.02.02,水气上凌证,
TCMS000334,B02.05.02.02.01,水气凌心证,
TCMS000335,B02.05.02.02.02,水气射肺证,水气犯肺证
TCMS000336,B02.05.02.02.03,水气凌心犯肺证,水凌心肺证
TCMS000337,B02.05.03.,水湿证,
TCMS000338,B02.05.03.01,水湿浸渍证,
TCMS000339,B02.05.03.02,水湿内蕴证,
TCMS000340,B02.05.03.03,水湿内停证,
TCMS000341,B02.05.04.,湿热证,
TCMS000342,B02.05.04.01.,湿热外感证,外感湿热证
TCMS000343,B02.05.04.01.01,湿郁化热证,湿郁化火证
TCMS000344,B02.05.04.01.02,湿热并重证,
TCMS000345,B02.05.04.01.02.01,湿重于热证,
TCMS000346,B02.05.04.01.02.02,热重于湿证,
TCMS000347,B02.05.04.01.02.03,湿遏热伏证,
TCMS000348,B02.05.04.01.02.04,湿热壅盛证,
TCMS000349,B02.05.04.01.03,湿热蕴肤证,湿热蕴结肌肤证；肌肤湿热证
TCMS000350,B02.05.04.01.03.01,湿热浸淫证,
TCMS000351,B02.05.04.01.03.02,湿热壅滞证,湿热壅阻证
TCMS000352,B02.05.04.01.04,湿热上蒸证,
TCMS000353,B02.05.04.01.04.01,湿热蒸喉证,
TCMS000354,B02.05.04.01.05,湿热阻痹证,湿热痹阻证
TCMS000355,B02.05.04.01.05.01,湿热犯腰证,
TCMS000356,B02.05.04.01.05.02,湿热阻络证,湿热阻滞经络证
TCMS000357,B02.05.04.02.,湿热内侵证,
TCMS000358,B02.05.04.02.01,湿热内蕴证,
TCMS000359,B02.05.04.02.02,湿热蕴结证,湿热壅结证
TCMS000360,B02.05.04.02.03,湿热蒙心证,湿热冲心证
TCMS000361,B02.05.04.02.04,湿热中阻证,湿热蕴阻证
TCMS000362,B02.05.04.02.04.01,湿热困脾证,湿热蕴脾证
TCMS000363,B02.05.04.02.04.02,湿热蕴胃证,湿热伤胃证
TCMS000364,B02.05.04.02.04.03,湿热蕴伏证,
TCMS000365,B02.05.04.02.04.04,湿热蕴蒸证,湿热熏蒸证
TCMS000366,B02.05.04.02.05,湿热发黄证,
TCMS000367,B02.05.04.02.06,湿热下注证,
TCMS000368,B02.05.04.02.06.01,湿热蕴肠证,
TCMS000369,B02.05.04.02.06.02,湿热蕴结肛门证,肛门湿热证
TCMS000370,B02.05.04.02.06.03,湿热蕴胞证,
TCMS000371,B02.05.04.03.,湿热兼夹证,
TCMS000372,B02.05.04.03.01,湿热酿痰证,
TCMS000373,B02.05.04.03.02,湿热化火证,
TCMS000374,B02.05.04.03.03,湿热化燥证,
TCMS000375,B02.05.04.03.04,湿温化燥证,
TCMS000376,B02.05.04.03.05,湿热动血证,湿温动血证
TCMS000377,B02.05.04.03.06,湿热瘀滞证,
TCMS000378,B02.05.04.03.06.01,湿热瘀阻证,湿热瘀结证；湿热血瘀证
TCMS000379,B02.05.04.03.07,湿热伤阴证,
TCMS000380,B02.05.04.03.08.,湿热毒证,
TCMS000381,B02.05.04.03.08.01,湿热蕴毒证,湿热毒蕴证；湿邪热毒证
TCMS000382,B02.05.04.03.08.02,湿热毒聚证,湿热疫毒证
TCMS000383,B02.05.04.03.08.03,湿热毒结证,湿热火毒蕴结证
TCMS000384,B02.05.04.03.08.04,湿火炽盛证,
TCMS000385,B02.05.04.03.08.05,湿热火毒壅盛证,湿热火毒蕴盛证；湿热毒盛证
TCMS000386,B02.05.04.03.08.06,湿浊热毒入营血证,浊毒入营动血证
TCMS000387,B02.05.04.03.08.07,湿热疫毒蕴结肺脾证,
TCMS000388,B02.05.04.03.08.08,湿热疫毒内陷证,
TCMS000389,B02.05.05.,湿浊证,
TCMS000390,B02.05.05.01,湿浊阻滞证,湿浊壅阻经络证
TCMS000391,B02.05.05.02,湿浊内蕴证,
TCMS000392,B02.05.05.03,湿浊壅滞证,
TCMS000393,B02.05.05.04,湿浊困阻证,阳虚浊聚证
TCMS000394,B02.05.05.05,湿浊蒙窍证,
TCMS000395,B02.05.05.06,湿浊上泛证,湿浊蒙上，泌别失职证；湿浊蒙上证
TCMS000396,B02.05.05.07,湿浊冲心证,
TCMS000397,B02.05.05.08,湿浊中阻证,
TCMS000398,B02.05.05.09,湿浊下注证,
TCMS000399,B02.05.05.10,湿浊内闭证,湿浊壅闭证；浊闭证
TCMS000400,B02.06.,燥证类,燥邪偏盛证
TCMS000401,B02.06.01.,外燥证,燥邪外感证
TCMS000402,B02.06.02,内燥证,
TCMS000403,B02.06.03.,燥邪证,
TCMS000404,B02.06.03.01,外燥袭表证,
TCMS000405,B02.06.03.02,燥干清窍证,
TCMS000406,B02.06.03.03,燥邪犯肺证,燥邪伤肺证
TCMS000407,B02.06.03.04,燥邪伤阴证,
TCMS000408,B02.06.03.05,燥伤真阴证,
TCMS000409,B02.06.04.,凉燥证,寒燥证
TCMS000410,B02.06.04.01,凉燥袭表证,寒燥犯表证
TCMS000411,B02.06.04.02,凉燥袭肺证,寒燥袭肺证
TCMS000412,B02.06.05.,温燥证,燥热证
TCMS000413,B02.06.05.01,温燥袭表证,燥热外犯证
TCMS000414,B02.06.05.02,温燥袭肺证,温燥伤肺证
TCMS000415,B02.06.05.03,燥热伤肺证,
TCMS000416,B02.06.05.04,温燥伤津证,温燥伤阴证；燥热伤津证；燥热伤阴证
TCMS000417,B02.06.06.,燥邪兼夹证,
TCMS000418,B02.06.06.01,燥气化火证,
TCMS000419,B02.06.06.02,燥痰阻肺证,燥痰结肺证
TCMS000420,B02.07.,火证类,火邪偏盛证
TCMS000421,B02.07.01.,实火证,
TCMS000422,B02.07.02.,虚火证,
TCMS000423,B02.07.02.01,虚火上炎证,
TCMS000424,B02.07.02.02,虚火扰心证,虚火上浮证
TCMS000425,B02.07.02.03,阴火乘脾证,
TCMS000426,B02.07.02.04,虚火灼络证,虚火灼损肺络证；虚火灼损肾络证
TCMS000427,B02.07.03.,火热证,温热证
TCMS000428,B02.07.03.01.,邪热内扰证,邪热内侵证
TCMS000429,B02.07.03.01.01,邪热传里证,
TCMS000430,B02.07.03.01.02,邪热痹阻证,热邪阻痹证
