id,code,name,keywords
TCM001071,A11.01.01.18,睥肉粘轮,胞肉粘轮
TCM001073,A11.01.02.01,冷泪,
TCM001074,A11.01.02.01.01,无时冷泪,
TCM001075,A11.01.02.01.02,迎风冷泪,
TCM001076,A11.01.02.02,热泪,
TCM001077,A11.01.02.03,眦漏,窍漏|漏睛|目脓漏
TCM001078,A11.01.02.04,漏睛疮,
TCM001079,A11.01.02.05,赤脉传睛,
TCM001080,A11.01.02.06,胬肉攀睛,
TCM001082,A11.01.03.01,暴风客热,
TCM001083,A11.01.03.02,天行赤眼,
TCM001084,A11.01.03.03,天行赤眼暴翳,暴赤生翳
TCM001085,A11.01.03.04,金疳,金疡|赤带抱轮
TCM001086,A11.01.03.05,火疳,火疡|乌轮赤晕
TCM001087,A11.01.03.06,白睛青蓝,
TCM001088,A11.01.03.07,白睛溢血,
TCM001089,A11.01.03.08,白涩症,
TCM001090,A11.01.03.09,时复目痒,目痒病
TCM001091,A11.01.03.10,赤丝虬脉,
TCM001092,A11.01.03.11,黄油障,
TCM001093,A11.01.03.12,鱼子石榴,
TCM001095,A11.01.04.01,聚星障,
TCM001096,A11.01.04.02,银星独见,
TCM001097,A11.01.04.03,偃月侵睛,枣花障
TCM001098,A11.01.04.04,花翳白陷,
TCM001099,A11.01.04.05,凝脂翳,
TCM001100,A11.01.04.06,黄液上冲,黄膜上冲
TCM001101,A11.01.04.07,旋螺尖起,
TCM001102,A11.01.04.08,黑翳如珠,
TCM001103,A11.01.04.09,蟹睛病,蟹睛突起|蟹目|蟹珠|蟹睛翳|黑珠翳
TCM001104,A11.01.04.10,黑睛正漏,
TCM001105,A11.01.04.11,混睛障,气翳
TCM001106,A11.01.04.12,风轮赤豆,轮上一颗如赤豆
TCM001107,A11.01.04.13,白膜侵睛,
TCM001108,A11.01.04.14,赤膜下垂,垂帘障|垂帘翳
TCM001109,A11.01.04.15,血翳包睛,
TCM001110,A11.01.04.16,睛黄视渺,睛黄视眇
TCM001112,A11.01.05.01,冰瑕翳,
TCM001113,A11.01.05.02,云翳,
TCM001114,A11.01.05.03,厚翳,
TCM001115,A11.01.05.04,斑脂翳,
TCM001116,A11.01.06,神水将枯,
TCM001119,A11.02.01.01,瞳神紧小,
TCM001120,A11.02.01.02,瞳神干缺,
TCM001121,A11.02.01.03,五风内障,
TCM001122,A11.02.01.03.01,青风内障,
TCM001123,A11.02.01.03.02,黄风内障,
TCM001124,A11.02.01.03.03,绿风内障,
TCM001125,A11.02.01.03.04,乌风内障,
TCM001126,A11.02.01.03.05,黑风内障,
TCM001127,A11.02.02,圆翳内障,如银内障
TCM001128,A11.02.03,胎患内障,
TCM001129,A11.02.04,云雾移睛,蝇翅黑花
TCM001130,A11.02.05,视瞻昏渺,
TCM001131,A11.02.06,高风内障,高风雀目
TCM001132,A11.02.07,视直如曲,
TCM001133,A11.02.08,血灌瞳神,血灌瞳人
TCM001134,A11.02.09,消渴内障,消渴目病
TCM001135,A11.02.10,青盲,
TCM001136,A11.02.11,暴盲,
TCM001138,A11.03.01,异物入目,眯目飞扬
TCM001140,A11.03.02.01,振胞瘀痛,
TCM001141,A11.03.02.02,惊振外障,
TCM001142,A11.03.02.03,惊振内障,惊震内障
TCM001143,A11.03.02.04,物损真睛,真睛破损
TCM001144,A11.03.03,电光伤目,
TCM001145,A11.03.04,酸碱伤目,
TCM001146,A11.03.05,热烫伤目,
TCM001148,A11.04.01,眉棱骨痛,
TCM001149,A11.04.02,雷头风内障,
TCM001150,A11.04.03,疳积上目,疳疾上目|疳眼
TCM001151,A11.04.04,目偏视,风牵偏视
TCM001152,A11.04.05,突起睛高,
TCM001153,A11.04.06,辘轳转关,
TCM001154,A11.04.07,鹘眼凝睛,鸪眼凝睛|鱼睛不夜
TCM001155,A11.04.08,雀目,肝虚雀目
TCM001156,A11.04.09,视物异色,视物易色
TCM001157,A11.04.10,通睛,斗睛
TCM001158,A11.04.11,目倦,视疲劳
TCM001159,A11.04.12,视歧,视岐
TCM001160,A11.04.13,目闭不开,
TCM001161,A11.04.14,逆经赤肿,
TCM001162,A11.04.15,近视,能近怯远
TCM001163,A11.04.16,远视,能远怯近
TCM001164,A11.04.17,老视,
TCM001166,A12.01,耳疖,耳痈|耳门痈
TCM001167,A12.02,耳疮,
TCM001168,A12.03,断耳疮,
TCM001169,A12.04,耳廓痰包,耳壳流痰
TCM001170,A12.05,耳胀,
TCM001171,A12.06,耳闭,
TCM001172,A12.07,脓耳,聤耳|缠耳
TCM001173,A12.07.01,耳根毒,耳根痈
TCM001174,A12.07.02,脓耳口眼斜,
TCM001175,A12.07.03,黄耳伤寒,
TCM001176,A12.08,耳瘘,
TCM001177,A12.09,耳眩晕,
TCM001178,A12.10,耵耳,耵聍堵塞
TCM001179,A12.11,异物入耳,
TCM001180,A12.12,暴聋,
TCM001181,A12.13,久聋,
TCM001182,A12.14,聋哑,
TCM001184,A13.01,鼻塞,
TCM001185,A13.01.01,伤风鼻塞,
TCM001186,A13.01.02,鼻窒,
TCM001187,A13.02,鼻鼽,
TCM001188,A13.03,鼻渊,
TCM001189,A13.04,鼻疳,鼻疮
TCM001190,A13.05,鼻槁,
TCM001191,A13.06,鼻窦痰包,
TCM001192,A13.07,鼻损伤,鼻外伤
TCM001193,A13.08,鼻异物,异物入鼻|鼻腔异物
TCM001195,A14.01,乳蛾,
