id,code,name,keywords
TCMT001004,C03.01.11,腕踝针疗法,
TCMT001005,C03.01.12,皮内针疗法,皮下埋针疗法；浅刺留针疗法
TCMT001006,C03.01.13,巨针疗法,
TCMT001007,C03.01.14,七星针疗法,梅花针疗法；罗汉针疗法
TCMT001008,C03.01.15,三棱针疗法,
TCMT001009,C03.01.16,挑治疗法,挑针疗法；截根法
TCMT001010,C03.01.16.01,刺四缝疗法,
TCMT001011,C03.01.17,陶针疗法,
TCMT001012,C03.01.18,芒针疗法,
TCMT001013,C03.01.19,点刺疗法,快速浅刺疗法；毛刺疗法
TCMT001014,C03.01.20,针刺麻醉法,
TCMT001015,C03.01.21,刺络拔罐疗法,
TCMT001016,C03.01.22,脉冲电针疗法,电针疗法
TCMT001017,C03.01.23,微波针疗法,
TCMT001018,C03.01.24,激光针疗法,
TCMT001019,C03.01.25,电离子导入疗法,电离子透入疗法
TCMT001020,C03.01.26,水针疗法,穴位注射疗法
TCMT001021,C03.01.27,火针疗法,
TCMT001022,C03.01.28,温针疗法,
TCMT001023,C03.01.29,麦粒灸疗法,
TCMT001024,C03.01.30,疤痕灸疗法,
TCMT001025,C03.01.31,隔姜灸疗法,
TCMT001026,C03.01.32,隔蒜灸疗法,
TCMT001027,C03.01.33,药饼灸疗法,
TCMT001028,C03.01.34,艾条灸疗法,
TCMT001029,C03.01.34.01,雷火针灸疗法,雷火神针疗法
TCMT001030,C03.01.34.02,太乙针灸疗法,太乙神针疗法
TCMT001031,C03.02.,推拿疗法,
TCMT001032,C03.02.01,小儿推拿疗法,小儿按摩疗法
TCMT001033,C03.02.02,脏腑经穴推拿疗法,
TCMT001034,C03.02.03,正骨推拿疗法,正骨推拿手法；伤科按摩手法
TCMT001035,C03.02.04,喉科擎拿疗法,喉科擒拿手法
TCMT001036,C03.02.05,膏摩疗法,
TCMT001037,C03.02.06,内功推拿疗法,
TCMT001038,C03.02.07,一指禅推拿疗法,
TCMT001039,C03.02.08,㨰法推拿疗法,
TCMT001040,C03.02.09,捏脊疗法,捏积疗法
TCMT001041,C03.02.10,点穴疗法,
TCMT001042,C03.02.11,指拨疗法,
TCMT001043,C03.02.12,推扳疗法,
TCMT001044,C03.02.13,拍击疗法,棒击疗法
TCMT001045,C03.02.14,保健按摩疗法,自我按摩疗法
TCMT001046,C03.02.14.01,鼓气吹张疗法,咽鼓管鼓气吹张疗法
TCMT001047,C03.02.14.02,鼓膜按摩,
TCMT001048,C03.02.14.03,鸣天鼓,
TCMT001049,C03.02.14.04,眼保健推拿疗法,
TCMT001050,C03.03.,外治疗法,
TCMT001051,C03.03.01,药熨疗法,热熨疗法
TCMT001052,C03.03.02,敷贴疗法,
TCMT001053,C03.03.02.01,发泡疗法,天灸疗法
TCMT001054,C03.03.03,敷脐疗法,脐疗法
TCMT001055,C03.03.04,湿敷疗法,
TCMT001056,C03.03.04.01,湿泥疗法,
TCMT001057,C03.03.05,热敷疗法,
TCMT001058,C03.03.05.01,热蜡疗法,
TCMT001059,C03.03.06,熏蒸疗法,汽浴疗法
TCMT001060,C03.03.06.01,熏洗疗法,
TCMT001061,C03.03.06.02,烟熏疗法,
TCMT001062,C03.03.06.03,神灯照疗法,神火照疗法
TCMT001063,C03.03.07,冲洗疗法,
TCMT001064,C03.03.08,沐浴疗法,
TCMT001065,C03.03.08.01,浸洗疗法,
TCMT001066,C03.03.09,膏药疗法,薄贴疗法
TCMT001067,C03.03.10,药膏疗法,
TCMT001068,C03.03.11,箍围疗法,
TCMT001069,C03.03.12,腐蚀疗法,
TCMT001070,C03.03.13,烧灼疗法,点灼疗法
TCMT001071,C03.03.14,药栓疗法,坐药疗法
TCMT001072,C03.03.15,灌肠疗法,
TCMT001073,C03.03.16,握药疗法,
TCMT001074,C03.03.17,药枕疗法,
TCMT001075,C03.03.18,药肚疗法,兜肚疗法
TCMT001076,C03.03.19,药带疗法,
TCMT001077,C03.03.20,香佩疗法,佩药疗法
TCMT001078,C03.03.21,枯痔疗法,
